Exp,Model,Accuracy,Precision,Recall,F1
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 0,0.44685714285714284,0.44055218800829116,0.4468571428571428,0.4363952239105872
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 1,0.434,0.4455977671061385,0.434,0.4189794829284987
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 2,0.4685714285714286,0.48069294038103216,0.4685714285714286,0.4547959072596046
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 3,0.48,0.48205502539626005,0.48,0.4718314705667197
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 4,0.4717142857142857,0.4821229680939477,0.4717142857142857,0.4643724836058852
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 5,0.488,0.4916819891063322,0.48799999999999993,0.4763047552338838
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 6,0.492,0.49550360448583936,0.492,0.4791631916413306
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 7,0.47714285714285715,0.48745194985141416,0.4771428571428572,0.4667298184643154
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 8,0.486,0.4906048063992414,0.48599999999999993,0.47544167241688573
logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 9,0.482,0.49400102610118524,0.48199999999999993,0.46993993869524164
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 0,0.304,0.3361018634400175,0.304,0.2790486019728874
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 1,0.376,0.40391623011575134,0.376,0.3561908365471473
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 2,0.45771428571428574,0.4781303075331298,0.4577142857142857,0.45049647273325505
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 3,0.4665714285714286,0.47331032249144334,0.4665714285714286,0.4576199141311412
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 4,0.4677142857142857,0.4946258576642946,0.46771428571428564,0.46743266663167266
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 5,0.44971428571428573,0.4635697973735048,0.44971428571428573,0.43729982723064403
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 6,0.45371428571428574,0.46507981161935363,0.4537142857142857,0.44387774078630554
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 7,0.4217142857142857,0.43545010394221034,0.4217142857142857,0.4084041844791763
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 8,0.426,0.4475055707646959,0.42600000000000005,0.40612558320490605
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 9,0.4422857142857143,0.46859953315725317,0.4422857142857143,0.4259367794387859
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 10,0.45257142857142857,0.46609819322507723,0.45257142857142857,0.43989522561064687
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 11,0.44571428571428573,0.4604067567444471,0.44571428571428573,0.4266924570068874
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 12,0.4337142857142857,0.4522627903359521,0.43371428571428566,0.4072076088964712
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 13,0.4565714285714286,0.4816637415668453,0.4565714285714285,0.4395143376687217
logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 14,0.4682857142857143,0.48581963337872713,0.4682857142857143,0.4572894068922017
